TargetID,StoreID,DateKey,Date,YearMonth,Region,TargetRevenue,TargetProfitMargin,TargetOrders
T-S001-2023-01,S001,20230101,2023-01-01,2023-01,Metro South,10000.0,0.2449,80
T-S001-2023-02,S001,20230201,2023-02-01,2023-02,Metro South,10000.0,0.2287,80
T-S001-2023-03,S001,20230301,2023-03-01,2023-03,Metro South,10000.0,0.2382,80
T-S001-2023-04,S001,20230401,2023-04-01,2023-04,Metro South,10000.0,0.2276,80
T-S001-2023-05,S001,20230501,2023-05-01,2023-05,Metro South,10000.0,0.2446,80
T-S001-2023-06,S001,20230601,2023-06-01,2023-06,Metro South,10000.0,0.244,80
T-S001-2023-07,S001,20230701,2023-07-01,2023-07,Metro South,10123.03,0.2405,80
T-S001-2023-08,S001,20230801,2023-08-01,2023-08,Metro South,10000.0,0.242,80
T-S001-2023-09,S001,20230901,2023-09-01,2023-09,Metro South,10000.0,0.2415,80
T-S001-2023-10,S001,20231001,2023-10-01,2023-10,Metro South,10152.23,0.2497,80
T-S001-2023-11,S001,20231101,2023-11-01,2023-11,Metro South,13744.94,0.2346,84
T-S001-2023-12,S001,20231201,2023-12-01,2023-12,Metro South,17931.74,0.2288,96
T-S001-2024-01,S001,20240101,2024-01-01,2024-01,Metro South,19127.46,0.2533,115
T-S001-2024-02,S001,20240201,2024-02-01,2024-02,Metro South,12847.46,0.2327,80
T-S001-2024-03,S001,20240301,2024-03-01,2024-03,Metro South,10853.33,0.2399,80
T-S001-2024-04,S001,20240401,2024-04-01,2024-04,Metro South,11252.34,0.2486,80
T-S001-2024-05,S001,20240501,2024-05-01,2024-05,Metro South,10520.18,0.2558,80
T-S001-2024-06,S001,20240601,2024-06-01,2024-06,Metro South,10000.0,0.2478,80
T-S001-2024-07,S001,20240701,2024-07-01,2024-07,Metro South,10037.32,0.2606,80
T-S001-2024-08,S001,20240801,2024-08-01,2024-08,Metro South,10000.0,0.2368,80
T-S001-2024-09,S001,20240901,2024-09-01,2024-09,Metro South,10000.0,0.2489,80
T-S001-2024-10,S001,20241001,2024-10-01,2024-10,Metro South,10008.87,0.2278,80
T-S001-2024-11,S001,20241101,2024-11-01,2024-11,Metro South,14509.98,0.2512,93
T-S001-2024-12,S001,20241201,2024-12-01,2024-12,Metro South,19577.97,0.2519,95
