ProductID,Category,Subcategory,Brand,ProductName,UnitCost,RetailPrice,LaunchDate,ProductStatus
P0001,Sports & Outdoor,Camping,TrailPro,TrailPro Camping 001,24.63,35.77,2020-10-11,Active
P0002,Electronics,Computers,NovaTech,NovaTech Computers 002,39.05,57.02,2018-05-20,Active
P0003,Furniture,Living Room,WorkNest,WorkNest Living Room 003,217.82,320.25,2022-10-12,Active
P0004,Office Supplies,Paper,Sorta,Sorta Paper 004,1.39,3.0,2021-10-18,Active
P0005,Furniture,Living Room,Linea,Linea Living Room 005,189.71,300.25,2019-11-01,Active
P0006,Home & Living,Storage,Nestwell,Nestwell Storage 006,8.49,12.0,2020-11-02,Active
P0007,Furniture,Desks,Linea,Linea Desks 007,53.78,80.0,2023-06-24,Active
P0008,Home & Living,Bedding,Luma,Luma Bedding 008,26.85,45.25,2019-03-03,Active
P0009,Office Supplies,Organisation,InkLab,InkLab Organisation 009,6.8,10.23,2022-12-12,Active
P0010,Electronics,Audio,Axiom,Axiom Audio 010,77.83,94.35,2021-10-07,Active
P0011,Office Supplies,Paper,InkLab,InkLab Paper 011,8.27,13.68,2021-08-30,Active
P0012,Electronics,Smart Home,Axiom,Axiom Smart Home 012,30.62,35.0,2021-12-28,Active
P0013,Kitchen,Appliances,HomeChef,HomeChef Appliances 013,4.53,8.0,2019-05-26,Active
P0014,Home & Living,Bedding,Casa,Casa Bedding 014,16.34,29.43,2018-06-25,Active
P0015,Kitchen,Dining,FreshKeep,FreshKeep Dining 015,10.39,18.39,2018-02-04,Discontinued
P0016,Sports & Outdoor,Camping,Peak,Peak Camping 016,11.18,15.0,2020-03-16,Active
P0017,Electronics,Smart Home,Axiom,Axiom Smart Home 017,409.29,549.47,2023-12-08,Discontinued
P0018,Home & Living,Bedding,Haven,Haven Bedding 018,22.13,37.55,2024-05-01,Active
P0019,Electronics,Mobile Accessories,Axiom,Axiom Mobile Accessories 019,110.84,152.27,2023-11-30,Active
P0020,Electronics,Audio,Orbit,Orbit Audio 020,143.28,180.96,2019-08-18,Active
P0021,Electronics,Mobile Accessories,NovaTech,NovaTech Mobile Accessories 021,92.71,113.86,2018-09-20,Active
P0022,Sports & Outdoor,Camping,Endura,Endura Camping 022,11.14,20.3,2020-12-19,Active
P0023,Furniture,Chairs,Cove,Cove Chairs 023,638.06,807.22,2024-06-15,Active
P0024,Furniture,Shelving,Form & Co,Form & Co Shelving 024,151.16,206.41,2024-04-13,Active
P0025,Electronics,Audio,Vertex,Vertex Audio 025,25.44,35.19,2022-04-03,Active
P0026,Sports & Outdoor,Camping,Endura,Endura Camping 026,10.81,20.69,2025-03-02,Active
P0027,Kitchen,Appliances,Kora,Kora Appliances 027,4.4,8.0,2023-12-20,Active
P0028,Office Supplies,Printing,Sorta,Sorta Printing 028,1.55,3.0,2020-03-13,Active
P0029,Office Supplies,Paper,InkLab,InkLab Paper 029,2.18,4.48,2022-11-22,Active
P0030,Kitchen,Dining,Table & Co,Table & Co Dining 030,35.77,56.78,2025-04-03,Active
P0031,Furniture,Shelving,Cove,Cove Shelving 031,287.83,392.9,2021-04-12,Active
P0032,Sports & Outdoor,Team Sports,Velocity,Velocity Team Sports 032,37.55,63.26,2023-10-19,Discontinued
P0033,Home & Living,Decor,Haven,Haven Decor 033,39.54,63.92,2024-02-12,Active
P0034,Kitchen,Cookware,HomeChef,HomeChef Cookware 034,53.12,73.86,2024-07-24,Active
P0035,Furniture,Chairs,Form & Co,Form & Co Chairs 035,86.02,122.88,2024-07-20,Active
P0036,Furniture,Chairs,Form & Co,Form & Co Chairs 036,229.16,381.7,2021-06-04,Active
P0037,Home & Living,Bedding,Haven,Haven Bedding 037,53.1,76.91,2018-04-01,Active
P0038,Sports & Outdoor,Cycling,Peak,Peak Cycling 038,26.49,36.83,2019-03-06,Active
P0039,Home & Living,Storage,Oak & Ivy,Oak & Ivy Storage 039,8.07,12.0,2017-01-22,Active
P0040,Kitchen,Food Storage,Kora,Kora Food Storage 040,31.91,43.19,2023-04-06,Active
P0041,Home & Living,Bedding,Casa,Casa Bedding 041,6.87,12.0,2019-02-28,Active
P0042,Furniture,Desks,Form & Co,Form & Co Desks 042,81.66,117.35,2022-11-11,Active
P0043,Sports & Outdoor,Fitness,Endura,Endura Fitness 043,17.83,29.67,2023-10-28,Active
P0044,Sports & Outdoor,Camping,Motion,Motion Camping 044,9.82,17.91,2022-06-15,Active
P0045,Kitchen,Appliances,Kora,Kora Appliances 045,5.31,8.0,2018-12-27,Active
P0046,Home & Living,Decor,Casa,Casa Decor 046,16.91,26.25,2018-10-19,Active
P0047,Furniture,Shelving,Cove,Cove Shelving 047,141.75,219.22,2022-04-11,Seasonal
P0048,Electronics,Mobile Accessories,Axiom,Axiom Mobile Accessories 048,37.02,44.81,2022-11-25,Discontinued
P0049,Sports & Outdoor,Team Sports,Endura,Endura Team Sports 049,21.23,39.43,2024-12-17,Active
P0050,Kitchen,Appliances,HomeChef,HomeChef Appliances 050,20.97,33.39,2021-03-10,Active
P0051,Home & Living,Lighting,Luma,Luma Lighting 051,10.28,16.55,2017-07-13,Seasonal
P0052,Home & Living,Lighting,Oak & Ivy,Oak & Ivy Lighting 052,22.44,35.57,2017-01-21,Active
P0053,Electronics,Smart Home,Pulse,Pulse Smart Home 053,37.85,53.32,2021-09-15,Active
P0054,Furniture,Shelving,Linea,Linea Shelving 054,359.77,577.48,2017-02-16,Active
P0055,Office Supplies,Printing,WriteRight,WriteRight Printing 055,19.74,29.99,2021-04-19,Active
P0056,Electronics,Computers,Pulse,Pulse Computers 056,184.71,241.38,2025-09-15,Active
P0057,Kitchen,Dining,Savour,Savour Dining 057,18.5,28.54,2020-02-27,Seasonal
P0058,Home & Living,Storage,Oak & Ivy,Oak & Ivy Storage 058,59.82,119.42,2023-03-03,Active
P0059,Office Supplies,Printing,WriteRight,WriteRight Printing 059,4.48,7.95,2022-08-26,Active
P0060,Furniture,Shelving,Form & Co,Form & Co Shelving 060,70.12,91.03,2024-03-28,Active
P0061,Electronics,Smart Home,Orbit,Orbit Smart Home 061,48.2,69.61,2020-04-11,Active
P0062,Sports & Outdoor,Camping,Endura,Endura Camping 062,42.08,69.09,2018-11-13,Active
P0063,Kitchen,Food Storage,Table & Co,Table & Co Food Storage 063,22.81,39.19,2023-06-12,Active
P0064,Sports & Outdoor,Cycling,Motion,Motion Cycling 064,46.64,65.65,2020-07-25,Active
P0065,Electronics,Mobile Accessories,Pulse,Pulse Mobile Accessories 065,59.28,69.63,2023-06-24,Active
P0066,Home & Living,Decor,Oak & Ivy,Oak & Ivy Decor 066,15.53,27.41,2017-05-13,Active
P0067,Sports & Outdoor,Camping,TrailPro,TrailPro Camping 067,17.27,24.06,2018-02-08,Active
P0068,Office Supplies,Paper,PaperTrail,PaperTrail Paper 068,1.67,3.0,2017-12-21,Active
P0069,Home & Living,Lighting,Luma,Luma Lighting 069,32.32,48.04,2022-10-04,Active
P0070,Office Supplies,Printing,ProDesk,ProDesk Printing 070,1.42,3.25,2024-01-01,Active
P0071,Sports & Outdoor,Team Sports,TrailPro,TrailPro Team Sports 071,19.16,27.29,2017-10-13,Active
P0072,Electronics,Computers,Orbit,Orbit Computers 072,24.67,35.0,2023-02-13,Active
P0073,Kitchen,Appliances,FreshKeep,FreshKeep Appliances 073,4.36,8.0,2020-05-19,Active
P0074,Furniture,Living Room,Linea,Linea Living Room 074,138.24,213.83,2021-12-10,Active
P0075,Kitchen,Cookware,Savour,Savour Cookware 075,6.63,11.51,2017-03-10,Active
P0076,Electronics,Mobile Accessories,Orbit,Orbit Mobile Accessories 076,71.31,103.29,2017-03-24,Active
P0077,Home & Living,Bedding,Luma,Luma Bedding 077,9.0,18.6,2017-07-12,Active
P0078,Electronics,Mobile Accessories,Vertex,Vertex Mobile Accessories 078,195.19,275.29,2023-09-17,Discontinued
P0079,Furniture,Shelving,WorkNest,WorkNest Shelving 079,125.57,193.79,2022-06-16,Active
P0080,Office Supplies,Organisation,Sorta,Sorta Organisation 080,4.86,7.92,2022-08-15,Active
