StoreID,StoreName,State,City,Region,StoreFormat,OpenDate,FloorAreaSqM,Status
S001,RetailMart Melbourne,VIC,Melbourne,Metro South,Large Format,2021-08-04,4411,Active
S002,RetailMart Richmond,VIC,Richmond,Metro East,Large Format,2005-10-19,4784,Active
S003,RetailMart Chadstone,VIC,Chadstone,Metro East,Large Format,2011-01-12,5365,Active
S004,RetailMart Geelong,VIC,Geelong,Regional Victoria,Large Format,2019-04-14,5899,Active
S005,RetailMart Ballarat,VIC,Ballarat,Regional Victoria,Standard,2008-03-25,2482,Active
S006,RetailMart Bendigo,VIC,Bendigo,Regional Victoria,Standard,2015-02-01,2014,Active
S007,RetailMart Sydney,NSW,Sydney,Metro Sydney,Standard,2008-03-21,2050,Active
S008,RetailMart Parramatta,NSW,Parramatta,Metro Sydney,Large Format,2022-11-26,5246,Active
S009,RetailMart Chatswood,NSW,Chatswood,Metro Sydney,Large Format,2010-08-02,6730,Active
S010,RetailMart Newcastle,NSW,Newcastle,Regional NSW,Large Format,2022-06-10,6298,Active
S011,RetailMart Wollongong,NSW,Wollongong,Regional NSW,Large Format,2022-04-29,5137,Active
S012,RetailMart Penrith,NSW,Penrith,Metro Sydney,Large Format,2013-06-16,6581,Active
S013,RetailMart Brisbane,QLD,Brisbane,South East QLD,Large Format,2021-03-05,3993,Active
S014,RetailMart Gold Coast,QLD,Gold Coast,South East QLD,Large Format,2011-11-21,5893,Active
S015,RetailMart Sunshine Coast,QLD,Sunshine Coast,South East QLD,Large Format,2020-07-14,6753,Active
S016,RetailMart Townsville,QLD,Townsville,Regional QLD,Standard,2014-04-11,2785,Active
S017,RetailMart Cairns,QLD,Cairns,Regional QLD,Standard,2006-02-03,2060,Active
S018,RetailMart Toowoomba,QLD,Toowoomba,Regional QLD,Large Format,2022-08-05,4964,Active
S019,RetailMart Adelaide,SA,Adelaide,South Australia,Standard,2019-12-12,2042,Active
S020,RetailMart Marion,SA,Marion,South Australia,Large Format,2008-01-19,4996,Active
S021,RetailMart Mount Gambier,SA,Mount Gambier,South Australia,Large Format,2013-07-11,5324,Active
S022,RetailMart Perth,WA,Perth,Metro Perth,Large Format,2006-12-01,6893,Active
S023,RetailMart Fremantle,WA,Fremantle,Metro Perth,Large Format,2014-08-30,4060,Active
S024,RetailMart Joondalup,WA,Joondalup,Metro Perth,Large Format,2016-03-25,5419,Active
S025,RetailMart Bunbury,WA,Bunbury,Regional WA,Large Format,2011-01-12,4381,Active
S026,RetailMart Albany,WA,Albany,Regional WA,Standard,2011-03-03,2798,Active
S027,RetailMart Hobart,TAS,Hobart,Tasmania,Large Format,2009-04-16,3864,Active
S028,RetailMart Launceston,TAS,Launceston,Tasmania,Standard,2019-02-14,2544,Active
S029,RetailMart Canberra,ACT,Canberra,ACT,Large Format,2009-07-14,5217,Active
S030,RetailMart Darwin,NT,Darwin,Northern Territory,Large Format,2020-08-23,4080,Active
S031,RetailMart Frankston,VIC,Frankston,Metro South,Standard,2016-12-23,2306,Active
S032,RetailMart Liverpool,NSW,Liverpool,Metro Sydney,Large Format,2014-05-12,4517,Active
S033,RetailMart Ipswich,QLD,Ipswich,South East QLD,Compact,2009-01-27,1647,Active
S034,RetailMart Elizabeth,SA,Elizabeth,South Australia,Large Format,2017-12-04,4101,Active
S035,RetailMart Mandurah,WA,Mandurah,Regional WA,Large Format,2022-05-18,4858,Active
S036,RetailMart Devonport,TAS,Devonport,Tasmania,Large Format,2017-03-21,5438,Active
