ReturnID,SaleID,OrderID,ReturnDate,DaysAfterPurchase,ReturnReason,ReturnQuantity,RefundAmount,RestockingFee,ReturnStatus
R0000001,SL000000005,O00000003,2024-07-10,14,Late delivery,1,98.48,0.0,Completed
R0000002,SL000000034,O00000020,2023-12-19,26,Not as described,1,58.4,0.0,Completed
R0000003,SL000000047,O00000027,2024-09-28,8,Faulty product,3,57.71,0.0,Completed
R0000004,SL000000062,O00000037,2025-12-26,3,Size or fit issue,1,28.56,0.0,Completed
R0000005,SL000000102,O00000063,2025-02-12,15,Faulty product,1,11.44,0.0,Completed
R0000006,SL000000108,O00000067,2024-07-06,6,Not as described,4,165.42,0.0,Completed
R0000007,SL000000125,O00000075,2025-01-01,9,Not as described,1,2.91,0.0,Completed
R0000008,SL000000134,O00000082,2023-09-24,9,Damaged item,1,29.67,0.0,Completed
R0000009,SL000000221,O00000130,2023-10-04,7,Changed mind,1,88.74,0.0,Completed
R0000010,SL000000278,O00000164,2023-03-18,23,Damaged item,2,52.32,0.0,Completed
R0000011,SL000000292,O00000176,2024-04-24,4,Changed mind,1,98.53,0.0,Completed
R0000012,SL000000308,O00000186,2023-01-31,11,Faulty product,1,15.0,0.0,Completed
R0000013,SL000000377,O00000225,2024-08-02,7,Incorrect item,1,129.13,0.0,Completed
R0000014,SL000000389,O00000233,2023-07-17,4,Size or fit issue,1,39.91,0.0,Completed
R0000015,SL000000398,O00000240,2026-01-01,22,Faulty product,1,59.86,0.0,Completed
R0000016,SL000000422,O00000258,2025-06-21,24,Incorrect item,1,4.29,0.0,Completed
R0000017,SL000000451,O00000275,2023-11-23,6,Not as described,2,235.83,0.0,Completed
R0000018,SL000000462,O00000283,2024-07-11,3,Faulty product,2,56.64,0.0,Completed
R0000019,SL000000468,O00000286,2024-12-13,12,Damaged item,1,30.45,0.0,Completed
R0000020,SL000000471,O00000287,2023-03-13,3,Size or fit issue,1,7.76,0.0,Pending
R0000021,SL000000472,O00000287,2023-03-20,10,Incorrect item,1,783.0,0.0,Completed
R0000022,SL000000474,O00000289,2025-04-22,21,Damaged item,1,76.0,0.0,Completed
R0000023,SL000000481,O00000292,2024-03-15,26,Damaged item,1,192.71,0.0,Pending
R0000024,SL000000497,O00000303,2023-11-10,20,Size or fit issue,1,18.87,0.0,Completed
R0000025,SL000000502,O00000305,2023-01-24,8,Incorrect item,1,30.24,0.0,Completed
R0000026,SL000000509,O00000308,2023-12-18,4,Changed mind,1,52.0,0.0,Completed
R0000027,SL000000554,O00000334,2023-04-24,12,Incorrect item,1,20.09,0.0,Completed
R0000028,SL000000567,O00000339,2023-02-04,1,Faulty product,1,35.77,0.0,Pending
R0000029,SL000000570,O00000341,2023-05-14,4,Changed mind,1,249.99,0.0,Completed
R0000030,SL000000581,O00000347,2024-08-22,11,Changed mind,1,105.12,18.55,Completed
R0000031,SL000000584,O00000350,2025-11-07,7,Late delivery,1,275.89,0.0,Completed
R0000032,SL000000588,O00000352,2025-11-15,8,Changed mind,1,51.27,0.0,Completed
R0000033,SL000000595,O00000354,2024-02-23,1,Faulty product,1,166.0,0.0,Completed
R0000034,SL000000618,O00000369,2025-12-28,5,Not as described,1,69.09,0.0,Completed
R0000035,SL000000642,O00000386,2025-12-24,15,Incorrect item,1,11.08,0.0,Completed
R0000036,SL000000651,O00000391,2024-08-12,13,Incorrect item,1,133.03,0.0,Completed
R0000037,SL000000656,O00000394,2023-11-22,2,Not as described,1,221.02,0.0,Completed
R0000038,SL000000668,O00000399,2025-12-22,11,Faulty product,1,155.29,0.0,Completed
R0000039,SL000000684,O00000408,2023-11-03,7,Faulty product,1,17.93,0.0,Pending
R0000040,SL000000704,O00000417,2025-08-02,5,Damaged item,1,14.55,0.0,Completed
R0000041,SL000000725,O00000427,2023-06-21,10,Damaged item,1,76.12,0.0,Completed
R0000042,SL000000769,O00000450,2025-04-08,4,Damaged item,1,28.17,0.0,Completed
R0000043,SL000000771,O00000452,2023-12-31,26,Incorrect item,1,80.0,0.0,Completed
R0000044,SL000000786,O00000459,2023-10-31,19,Damaged item,1,60.7,0.0,Completed
R0000045,SL000000801,O00000468,2024-02-05,3,Late delivery,1,31.66,0.0,Completed
R0000046,SL000000824,O00000481,2023-10-02,20,Changed mind,1,15.46,0.0,Completed
R0000047,SL000000838,O00000491,2024-08-13,5,Changed mind,1,63.88,0.0,Completed
R0000048,SL000000874,O00000507,2025-05-11,7,Faulty product,2,262.82,0.0,Completed
R0000049,SL000000880,O00000510,2025-04-26,18,Changed mind,1,29.15,5.14,Completed
R0000050,SL000000885,O00000514,2025-08-23,17,Changed mind,4,143.07,0.0,Completed
R0000051,SL000000908,O00000530,2025-06-27,17,Faulty product,1,96.97,0.0,Completed
R0000052,SL000000920,O00000536,2024-11-05,15,Not as described,1,49.73,0.0,Completed
R0000053,SL000000958,O00000554,2023-07-03,30,Damaged item,3,24.93,0.0,Completed
R0000054,SL000000971,O00000561,2023-09-08,15,Size or fit issue,4,20.29,0.0,Completed
R0000055,SL000000998,O00000578,2025-07-25,11,Changed mind,2,20.2,3.56,Completed
R0000056,SL000001002,O00000581,2024-12-30,2,Changed mind,4,227.86,0.0,Completed
R0000057,SL000001030,O00000596,2025-11-27,2,Late delivery,1,11.66,0.0,Completed
R0000058,SL000001065,O00000611,2024-07-07,22,Late delivery,1,82.72,0.0,Completed
R0000059,SL000001082,O00000619,2024-07-27,3,Faulty product,1,176.71,0.0,Completed
R0000060,SL000001094,O00000626,2025-01-31,14,Damaged item,1,104.55,0.0,Completed
R0000061,SL000001103,O00000632,2023-04-29,15,Faulty product,1,213.83,0.0,Completed
R0000062,SL000001109,O00000636,2024-11-24,13,Changed mind,1,377.88,0.0,Completed
R0000063,SL000001124,O00000647,2025-03-21,3,Faulty product,1,86.97,0.0,Completed
R0000064,SL000001143,O00000660,2024-06-04,6,Incorrect item,1,79.2,0.0,Completed
R0000065,SL000001155,O00000668,2025-04-09,4,Changed mind,1,77.6,0.0,Completed
R0000066,SL000001206,O00000696,2025-07-23,14,Changed mind,4,40.49,7.15,Completed
R0000067,SL000001207,O00000696,2025-07-16,7,Changed mind,1,17.67,0.0,Completed
R0000068,SL000001218,O00000699,2024-05-30,14,Late delivery,1,45.75,0.0,Completed
R0000069,SL000001266,O00000723,2025-07-24,4,Not as described,2,69.3,0.0,Completed
R0000070,SL000001291,O00000738,2024-09-07,4,Damaged item,1,158.18,0.0,Completed
R0000071,SL000001316,O00000751,2025-02-14,6,Faulty product,2,65.8,0.0,Completed
R0000072,SL000001362,O00000777,2025-11-29,4,Faulty product,1,49.74,0.0,Completed
R0000073,SL000001388,O00000791,2023-06-27,4,Not as described,1,16.97,0.0,Completed
R0000074,SL000001421,O00000810,2025-09-30,2,Changed mind,1,125.25,22.1,Completed
R0000075,SL000001438,O00000818,2025-06-19,15,Faulty product,1,33.78,0.0,Completed
R0000076,SL000001468,O00000835,2025-06-13,4,Late delivery,1,39.83,0.0,Completed
R0000077,SL000001473,O00000840,2026-01-18,32,Late delivery,1,21.89,0.0,Completed
R0000078,SL000001541,O00000882,2024-03-23,4,Changed mind,2,58.31,10.29,Completed
R0000079,SL000001562,O00000895,2023-02-11,17,Incorrect item,4,114.96,0.0,Completed
R0000080,SL000001595,O00000909,2025-06-25,7,Damaged item,1,301.39,0.0,Completed
R0000081,SL000001603,O00000914,2025-11-02,24,Changed mind,1,42.34,7.47,Completed
R0000082,SL000001629,O00000932,2023-07-31,10,Faulty product,1,15.68,0.0,Completed
R0000083,SL000001708,O00000972,2025-05-03,19,Changed mind,1,394.54,0.0,Completed
R0000084,SL000001727,O00000982,2023-10-11,7,Damaged item,2,104.98,0.0,Pending
R0000085,SL000001728,O00000983,2026-01-01,31,Changed mind,1,148.86,0.0,Completed
R0000086,SL000001769,O00001001,2023-11-30,5,Incorrect item,1,25.9,0.0,Completed
R0000087,SL000001839,O00001040,2024-08-08,12,Changed mind,1,9.53,1.68,Completed
R0000088,SL000001880,O00001070,2023-11-27,3,Damaged item,2,12.16,0.0,Completed
R0000089,SL000001886,O00001072,2023-02-01,5,Damaged item,1,93.09,0.0,Completed
R0000090,SL000001974,O00001134,2025-04-30,21,Not as described,1,72.33,0.0,Completed
R0000091,SL000001994,O00001148,2024-12-30,8,Incorrect item,1,238.33,0.0,Completed
R0000092,SL000001996,O00001149,2025-01-18,6,Changed mind,1,330.04,0.0,Completed
R0000093,SL000002006,O00001154,2025-03-08,9,Faulty product,1,23.06,0.0,Completed
R0000094,SL000002011,O00001156,2023-08-11,11,Faulty product,1,16.78,0.0,Completed
R0000095,SL000002019,O00001159,2025-04-30,15,Changed mind,3,26.7,0.0,Completed
R0000096,SL000002020,O00001160,2025-06-20,17,Faulty product,1,64.53,0.0,Completed
R0000097,SL000002022,O00001161,2023-10-27,3,Incorrect item,2,107.22,0.0,Completed
R0000098,SL000002031,O00001165,2023-12-13,3,Not as described,1,151.68,0.0,Completed
R0000099,SL000002056,O00001178,2023-03-11,13,Late delivery,1,72.49,0.0,Completed
R0000100,SL000002093,O00001202,2024-12-23,19,Changed mind,1,13.55,2.39,Completed
R0000101,SL000002094,O00001203,2024-04-08,7,Not as described,1,77.67,0.0,Completed
R0000102,SL000002098,O00001205,2023-08-07,16,Not as described,1,272.54,0.0,Completed
R0000103,SL000002101,O00001205,2023-07-23,1,Changed mind,1,217.29,0.0,Completed
R0000104,SL000002108,O00001211,2023-05-18,1,Changed mind,4,121.53,21.45,Completed
R0000105,SL000002148,O00001238,2023-12-20,3,Faulty product,1,10.2,0.0,Completed
R0000106,SL000002164,O00001249,2025-05-02,3,Changed mind,1,38.09,6.72,Completed
R0000107,SL000002177,O00001258,2024-01-06,6,Changed mind,2,257.56,0.0,Completed
R0000108,SL000002220,O00001280,2025-08-31,20,Damaged item,1,232.65,0.0,Pending
R0000109,SL000002230,O00001284,2023-11-30,8,Incorrect item,2,27.5,0.0,Pending
R0000110,SL000002252,O00001297,2024-09-30,19,Changed mind,1,127.39,0.0,Completed
R0000111,SL000002261,O00001302,2024-04-15,7,Size or fit issue,1,35.0,0.0,Completed
R0000112,SL000002279,O00001311,2025-09-29,2,Changed mind,1,20.79,0.0,Completed
R0000113,SL000002286,O00001317,2025-09-22,13,Late delivery,1,25.27,0.0,Pending
R0000114,SL000002306,O00001328,2025-01-02,3,Faulty product,1,50.76,0.0,Pending
